,ru_name,poster,kp_rate,imbd_rate,kp_url
0,Побег из Шоушенка,https://kinopoiskapiunofficial.tech/images/posters/kp/326.jpg,9.2,9.2,https://www.kinopoisk.ru/film/326/
1,Зеленая миля,https://kinopoiskapiunofficial.tech/images/posters/kp/435.jpg,9.1,9.1,https://www.kinopoisk.ru/film/435/
2,Форрест Гамп,https://kinopoiskapiunofficial.tech/images/posters/kp/448.jpg,9.0,9.0,https://www.kinopoisk.ru/film/448/
3,Список Шиндлера,https://kinopoiskapiunofficial.tech/images/posters/kp/329.jpg,8.9,8.9,https://www.kinopoisk.ru/film/329/
4,1+1,https://kinopoiskapiunofficial.tech/images/posters/kp/535341.jpg,8.8,8.8,https://www.kinopoisk.ru/film/535341/
5,Начало,https://kinopoiskapiunofficial.tech/images/posters/kp/447301.jpg,8.8,8.8,https://www.kinopoisk.ru/film/447301/
6,Леон,https://kinopoiskapiunofficial.tech/images/posters/kp/389.jpg,8.8,8.8,https://www.kinopoisk.ru/film/389/
7,Король Лев,https://kinopoiskapiunofficial.tech/images/posters/kp/2360.jpg,8.8,8.8,https://www.kinopoisk.ru/film/2360/
8,Иван Васильевич меняет профессию,https://kinopoiskapiunofficial.tech/images/posters/kp/42664.jpg,8.7,8.7,https://www.kinopoisk.ru/film/42664/
9,Бойцовский клуб,https://kinopoiskapiunofficial.tech/images/posters/kp/361.jpg,8.7,8.7,https://www.kinopoisk.ru/film/361/
10,Жизнь прекрасна,https://kinopoiskapiunofficial.tech/images/posters/kp/381.jpg,8.7,8.7,https://www.kinopoisk.ru/film/381/
11,Достучаться до небес,https://kinopoiskapiunofficial.tech/images/posters/kp/32898.jpg,8.6,8.6,https://www.kinopoisk.ru/film/32898/
12,Крестный отец,https://kinopoiskapiunofficial.tech/images/posters/kp/325.jpg,8.6,8.6,https://www.kinopoisk.ru/film/325/
13,Криминальное чтиво,https://kinopoiskapiunofficial.tech/images/posters/kp/342.jpg,8.6,8.6,https://www.kinopoisk.ru/film/342/
14,Операция «Ы» и другие приключения Шурика,https://kinopoiskapiunofficial.tech/images/posters/kp/42782.jpg,8.6,8.6,https://www.kinopoisk.ru/film/42782/
15,Игры разума,https://kinopoiskapiunofficial.tech/images/posters/kp/530.jpg,8.6,8.6,https://www.kinopoisk.ru/film/530/
16,Престиж,https://kinopoiskapiunofficial.tech/images/posters/kp/195334.jpg,8.6,8.6,https://www.kinopoisk.ru/film/195334/
17,Интерстеллар,https://kinopoiskapiunofficial.tech/images/posters/kp/258687.jpg,8.6,8.6,https://www.kinopoisk.ru/film/258687/
18,Властелин колец: Возвращение короля,https://kinopoiskapiunofficial.tech/images/posters/kp/3498.jpg,8.6,8.6,https://www.kinopoisk.ru/film/3498/
19,Гладиатор,https://kinopoiskapiunofficial.tech/images/posters/kp/474.jpg,8.6,8.6,https://www.kinopoisk.ru/film/474/
